"ECE_Id","Org_Name","Telephone","Fax","Email","Add1_Line1","Add1_Suburb","Add1_City","Org_Type","Definition","Authority","20_Hrs_ECE","Equity_Index","Territorial_Authority","Regional_Council","Education_Region","General_Electorate","Māori_Electorate","Area_Unit","Ward","Contact1_Name","Add2_Line1","Add2_Suburb","Add2_City","Management_Telephone","Management_Fax","Col_Id","Col_Name","Latitude","Longitude","All_Children","Under_2s","Age_0","Age_1","Age_2","Age_3","Age_4","Age_5","Roll_Date","Total","European","Māori","Pacific","Asian","Other"
"45578",Fotumalama Aoga Amata,"09 262 3009","",fotumalama.preschool@xtra.co.nz,"1/54 Trevor Hosken Drive",Wiri,Auckland,Education and Care Service,Samoan ECE service,Community based,Yes,EQI 2,Auckland - Manurewa,Auckland Region,Auckland,Manurewa,Tamaki Makaurau,Wiri,Manurewa-Papakura Ward,Noama Timoteo,"1/54 Trevor Hosken Drive ",Manukau,Auckland 2104,"09-2623009","","","",-36.999543000,"174.881572000","50","10","0","1","9","11","11","0","2020-07-01 00:00:00.0000000","32","0","2","0","0","0"
"50041",Puddleducks' Nursery and Preschool (PN),"06 358 3564","06 358 3565",hamish@puddleducks.co.nz,"32 Albert Street","",Palmerston North,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Palmerston North City,Manawatu-Wanganui Region,Taranaki/Whanganui/Manawatu,Palmerston North,Te Tai Hauauru,Papaeoia,Area Outside Ward,Hamish Davidson,P O Box 51,Feilding,Manawatu 4740,"06-3232996","","99052",Palmerston North East Community of Learning,-40.345741000,"175.620635000","82","28","4","16","19","15","16","2","2020-07-01 00:00:00.0000000","72","49","13","0","7","2"
"45865",Mokopuna ki Clendon Early Childhood Service,"09 215 0791","09 267 6073",c.richards@mokonz.co.nz,"145 Rowandale Avenue",Clendon,Auckland,Education and Care Service,Maori ECE service (excluding TKR),Community based,Yes,EQI 1,Auckland - Manurewa,Auckland Region,Auckland,Manurewa,Tamaki Makaurau,Homai West,Manurewa-Papakura Ward,Christine Richards,P O Box 6020,Otaika,Whangarei 0147,"09-2694491","","","",-37.017871000,"174.870784000","45","0","0","0","4","14","21","0","2020-07-01 00:00:00.0000000","39","0","26","0","2","0"
"46095",Tiny Tuis Early Learning Centre,"09 527 2222","",nicole@tinytuis.co.nz,"27 Lunn Avenue",Mount Wellington,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 4,Auckland - Maungakiekie-Tamaki,Auckland Region,Auckland,Panmure-Otahuhu,Tamaki Makaurau,Stonefields,Maungakiekie-Tamaki Ward,Adrian Rowan,P O Box 47806,Ponsonby,Auckland 1144,"09-4799090","","","",-36.893627000,"174.839225000","100","35","2","24","31","26","28","2","2020-07-01 00:00:00.0000000","113","66","10","0","34","3"
"45886",Toybox on Rawhiti,"09 634 3676","",toyboxchildcare@xtra.co.nz,"68 Rawhiti Road",One Tree Hill,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Maungakiekie-Tamaki,Auckland Region,Auckland,Maungakiekie,Tamaki Makaurau,Onehunga North East,Maungakiekie-Tamaki Ward,Catherine Catto,"68 Rawhiti Rd",One Tree Hill,Auckland 1061,"09-6343676","","","",-36.906891000,"174.793180000","30","0","0","0","14","8","12","0","2020-07-01 00:00:00.0000000","34","24","3","0","3","3"
"46098",West Harbour Christian Kindergarten,"09 416 8091","",admin@whck.org.nz,"49-53 Luckens Road",West Harbour,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Henderson-Massey,Auckland Region,Auckland,Upper Harbour,Te Tai Tokerau,West Harbour,Waitakere Ward,Ananda Paruchuri,"24 Gilletta Road",Mount Roskill,Auckland 1041,"09-626 2217","","99129",Whiria Te Tangata Community of Learning,-36.819454000,"174.629848000","37","0","0","0","9","11","13","3","2020-07-01 00:00:00.0000000","36","10","9","0","5","7"
"45591",Pasifika Early Learning - Le Malelega a le To'elau ,"09 270 0263","09 270 4921",brittany@pasifika.school.nz,"40 Cleek Road",Mangere East,Auckland,Education and Care Service,Samoan ECE service,Privately owned,Yes,EQI 2,Auckland - Mangere-Otahuhu,Auckland Region,Auckland,Mangere,Tamaki Makaurau,Mangere Station,Manukau Ward,Brittany Newport,P O Box 76107,Manukau City,Auckland 2241,"09-2650846","","99124",Whakatipu Akoranga Kāhui Ako,-36.957984000,"174.827365000","50","15","2","7","3","3","6","1","2020-07-01 00:00:00.0000000","22","0","1","0","0","0"
"45869",PORSE New Plymouth Q2,"06 873 0033","06 873 0792","","220 Devon Street East",New Plymouth Central,New Plymouth,Homebased Network,Not Applicable,Privately owned,Yes,EQI 5+,New Plymouth District,Taranaki Region,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,New Plymouth Central,New Plymouth City Ward,Marissa Marsden,P O Box 200,"",Hastings 4156,"06-759 6668","06-7575882","","",-39.055871000,"174.081171000","80","80","4","13","19","22","17","2","2020-07-01 00:00:00.0000000","77","59","13","0","3","1"
"25310",Te Kōhanga  Reo o Te Paa Harakeke,"09 622 0939","","",Miro Road,Mangere,Auckland,Te Kōhanga Reo,Not Applicable,Community based,Yes,EQI 2,Auckland - Mangere-Otahuhu,Auckland Region,Waikato,Mangere,Tamaki Makaurau,Mangere Bridge,Manukau Ward,Ngaire Horn,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,"07-8568885","07-8584398","","",-36.941881000,"174.791988000","33","7","1","1","7","6","4","0","2020-07-01 00:00:00.0000000","19","0","17","0","0","0"
"45608",Four Seasons Rudolf Steiner Kindergarten,"07 378 8042","",admin@fourseasonskindergarten.co.nz,"78 Kaimanawa Street","",Taupo,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Taupo District,Waikato Region,Bay of Plenty/Waiariki,Taupo,Waiariki,Taupo Central,Taupo-Kaingaroa Ward,Traceylee Hooton,P O Box 530,"",Taupo 3351,"06-3782974","","99020",Taupō Community of Schools,-38.684987000,"176.078239000","30","0","0","0","2","11","15","7","2020-07-01 00:00:00.0000000","35","26","8","0","1","0"
"45616",Prebbleton Kindergarten,"03 349 9950","","","504 Springs Road","",Christchurch,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Selwyn District,Canterbury Region,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Prebbleton,Springs Ward,Melissa Brain,"542 Springs Road",Prebbleton,Christchurch 7604,"03-349 0555","","99113",Ngā Mātāpuna o Ngā Pakihi Community of Learning,-43.578035000,"172.514514000","40","0","0","0","5","19","21","1","2020-07-01 00:00:00.0000000","46","35","2","0","7","1"
"45291",Newton Street Childcare Ltd,"07 575 8727","07 575 8727",newtonstcc@orcon.net.nz,"13 Newton Street",Mt Maunganui,Tauranga,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 4,Tauranga City,Bay of Plenty Region,Bay of Plenty/Waiariki,Tauranga,Waiariki,Omanu,Mount Maunganui-Papamoa Ward,Roslyn Gray,"43 Bramleys Road RD RD1","",Kaiapoi 7691,"","","99064",Mt Maunganui Community of Learning,-37.655102000,"176.198906000","53","15","4","9","4","16","5","3","2020-07-01 00:00:00.0000000","41","20","15","0","4","2"
"45435",BestStart Lytton ,"06 868 3576","06 868 3579",arlene.troy@best-start.org,"116 Lytton Road",Te Hapara,Gisborne,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 4,Gisborne District,Gisborne Region,Hawke's Bay/Tairawhiti,East Coast,Ikaroa-Rawhiti,Te Hapara,Gisborne Ward,Arlene Troy,P O Box 276177,Manukau City,South Auckland 2241,"07-3770677","","99082",Taha Tinana (Gisborne) Kāhui Ako,-38.651407000,"177.998500000","120","20","4","8","26","28","33","0","2020-07-01 00:00:00.0000000","99","10","65","0","13","3"
"45443",Early Learning Counties Manukau - Wattle Cove,"09 269 4431","09 269 4435","","15 Scotsmoor Drive",Wattle Downs,Auckland,Education and Care Service,Not Applicable,Community based,Yes,EQI 5+,Auckland - Manurewa,Auckland Region,Auckland,Takanini,Tamaki Makaurau,Wattle Farm,Manurewa-Papakura Ward,Calmar Ulberg,P O Box 93,Takanini,Auckland 2245,"09-9729910","","99186",Alfriston Kāhui Ako,-37.050911000,"174.876306000","80","20","2","8","11","15","20","0","2020-07-01 00:00:00.0000000","56","21","7","0","23","0"
"45445",The Rabbit Patch - Saffron Street,"03 359 0196","03 359 0197",gail@rabbitpatch.co.nz,"22 Saffron Street",Burnside,Christchurch,Education and Care Service,Not Applicable,Privately owned,Yes,Not Applicable / Unknown,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Aorangi,Papanui Ward,Gail Clarke,"22 Saffron Street",Burnside,Christchurch 8053,"03-359 0196","03-359 0197","","",-43.497935000,"172.588681000","80","25","3","25","21","25","28","1","2020-07-01 00:00:00.0000000","103","67","13","0","18","1"
"80075",Little Wonders Early Childhood Centre (Cromwell),"03 445 4550","",cm.littlewonderscr@eeg.co.nz,"102 Barry Avenue","",Cromwell,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Central Otago District,Otago Region,Otago/Southland,Waitaki,Te Tai Tonga,Cromwell,Cromwell Ward,Pennie Lester,P O Box 105843,Auckland City,Auckland 1143,"03-445 4019","","99046",Te Kāhui Ako o Ngā Awanui,-45.048165000,"169.195318000","56","20","4","9","9","17","23","2","2020-07-01 00:00:00.0000000","64","49","12","0","2","0"
"45566",Globalkids Early Learning Centre,"03 332 2070","03 332 2071",global.kids@xtra.co.nz,"70 Hume Street",Sydenham,Christchurch,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Sydenham,Heathcote Ward,Debbie Taylor,"16 Rivers Edge",Northwood,Christchurch 8051,"03-323 4074","","99177",Te Mana Raupō Community of Learning,-43.553462000,"172.647559000","30","10","2","9","7","10","8","1","2020-07-01 00:00:00.0000000","37","16","7","0","13","1"
"45567",Active Explorers St Lukes,"09 815 8586","","","55 Sainsbury Road",Mt Albert,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Albert-Eden,Auckland Region,Auckland,Mt Albert,Tamaki Makaurau,St Lukes,Albert-Eden-Roskill Ward,Shirley-Anne Taiaroa,P O Box 105843,Auckland City,Auckland 1143,"","","","",-36.879457000,"174.733910000","100","40","1","7","13","16","20","0","2020-07-01 00:00:00.0000000","57","17","3","0","31","3"
"45577",Angels Childcare - New Lynn,"09 827 3379","",angelsnew@angelschildcare.co.nz,"32 Arawa St",New Lynn,Waitakere,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Whau,Auckland Region,Auckland,Kelston,Tamaki Makaurau,New Lynn South,Whau Ward,Bryan McCloughen,"87 Braemar Road",Castor Bay,North Shore City 0620,"09-4144328","","","",-36.910584000,"174.672730000","130","25","5","20","29","41","44","2","2020-07-01 00:00:00.0000000","141","55","15","0","31","9"
"45579",Piccolini Private Nursery and Kindergarten Havelock North,"06 877 4746","",manager.havelocknorth@piccolini.co.nz,"108 Te Mata Road","",Havelock North,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Hastings District,Hawke's Bay Region,Hawke's Bay/Tairawhiti,Tukituki,Ikaroa-Rawhiti,Havelock North Central,Hastings-Havelock North Ward,Sarah Bojesen-Trepka,P O Box 628,Stanmore Bay,Whangaparaoa 0943,"","","","",-39.666065000,"176.888730000","79","30","2","7","12","20","13","0","2020-07-01 00:00:00.0000000","54","41","8","0","1","3"
"45290",Sunshine Childcare  Preschool,"07 849 2020","",info@sunshinechildcare.co.nz,"80 Sunshine Ave",Te Rapa,Hamilton,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Hamilton City,Waikato Region,Waikato,Hamilton West,Hauraki-Waikato,Te Rapa,West Ward,Patricia Radich,"69 Keswick Crescent",Huntington,Hamilton 3210,"","","","",-37.760273000,"175.240286000","126","40","1","16","13","23","13","0","2020-07-01 00:00:00.0000000","66","46","15","0","1","0"
"45306",Little Orchard Preschool - McGarvey Road 1,"07 308 7777","",reception@provincialeducation.co.nz,"101 McGarvey Road","",Whakatane,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Whakatane North,Whakatane-Ohope Ward,Sara Davie,P O Box 628,Stanmore Bay,Whangaparaoa 0943,"","","99016",Whakatane Community of Learning,-37.957359000,"176.987052000","30","25","1","19","18","8","7","0","2020-07-01 00:00:00.0000000","53","20","25","0","3","0"
"25417",BestStart Wolverton Street,"09 828 9083","09 828 9089",wolverton@best-start.org,"25 Wolverton Street",Avondale,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Whau,Auckland Region,Auckland,New Lynn,Tamaki Makaurau,Glenavon,Whau Ward,Jane  Burke,P O Box 276177,Manukau City,South Auckland 2241,"09-2504136","","","",-36.906876000,"174.699205000","150","20","5","11","25","32","47","2","2020-07-01 00:00:00.0000000","122","5","22","0","51","20"
"30347",Little Waikato Scholars Educare,"07 843 6513","",waikatoscholars@xtra.co.nz,"1 Quail Place",Frankton-Hamilton,Hamilton,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Hamilton City,Waikato Region,Waikato,Hamilton West,Hauraki-Waikato,Hamilton Lake,West Ward,Steve Henry,"1 Quail Place",Frankton,Hamilton 3216,"07-8436513","","","",-37.805886000,"175.268332000","50","15","1","5","11","15","7","0","2020-07-01 00:00:00.0000000","39","21","9","0","9","0"
"40332",Douglas St Montessori,"07 308 5222","07 308 5236",douglascentre@lops.co.nz,"41 Douglas Street","",Whakatane,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 4,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Allandale-Mokorua,Whakatane-Ohope Ward,Karla Goddard,P O Box 628,Stanmore Bay,Whangaparaoa 0943,"07-000","","99016",Whakatane Community of Learning,-37.967361000,"176.988363000","45","15","0","0","16","12","15","0","2020-07-01 00:00:00.0000000","43","14","24","0","5","0"
"45587",Active Explorers Lower Hutt,"04 589 5061","04 589 5064",sasha.stewart@eeg.co.nz,"22A Pretoria Street",Lower Hutt Central,Lower Hutt,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Lower Hutt City,Wellington Region,Wellington,Hutt South,Te Tai Tonga,Hutt Central,Central Ward,Sasha Stewart,P O Box 105843,Auckland City,Auckland 1143,"","","","",-41.207079000,"174.911614000","68","20","1","14","13","17","17","1","2020-07-01 00:00:00.0000000","63","28","9","0","23","1"
"45447",Star Early Learning,"03 547 3436","",melissa@starearlylearning.co.nz,"331 Annesbrook Drive","",Nelson,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Nelson City,Nelson Region,Nelson/Marlborough/West Coast,Nelson,Te Tai Tonga,Enner Glynn,Area Outside Ward,Melissa Laing,"331 Annesbrook Drive","",Nelson 7011,"03-547 5477","","","",-41.303418000,"173.242414000","25","24","5","15","18","0","0","0","2020-07-01 00:00:00.0000000","38","23","10","0","3","1"
"45449",Childhood Concepts Early Learning Centre (Upper Hutt) Ltd.,"04 527 0282","",michelle@childhoodconcepts.co.nz,"28 Goodshed Road",Upper Hutt CBD,Upper Hutt,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Upper Hutt City,Wellington Region,Wellington,Remutaka,Ikaroa-Rawhiti,Maidstone,Area Outside Ward,Michelle Robertson,P O Box 30867,"",Lower Hutt 5014,"","04-5895064","","",-41.127521000,"175.069313000","67","24","6","17","19","15","15","1","2020-07-01 00:00:00.0000000","73","32","23","0","6","1"
"30346",Elim Early Learning Centre Cambridge,"07 823 3216","07 823 32989",karen.elimelc@gmail.com,"10 Wordsworth Street",Leamington,Cambridge,Education and Care Service,Not Applicable,Community based,Yes,EQI 5+,Waipa District,Waikato Region,Waikato,Taupo,Hauraki-Waikato,Leamington West,Cambridge Ward,Karen Moar,"10 Wordsworth Street",Leamington,Waikato 3432,"07-2821239","07-82332989","99034",Te Kāhui Ako o Te Oko Horoi,-37.901399000,"175.472679000","60","20","2","7","13","7","10","1","2020-07-01 00:00:00.0000000","40","23","5","0","7","5"
"25423",Active Explorers Ellerslie,"09 579 4991","","","75 Ballarat Street",Ellerslie,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Maungakiekie-Tamaki,Auckland Region,Auckland,Maungakiekie,Tamaki Makaurau,Mt Wellington West,Maungakiekie-Tamaki Ward,Supriya Sharma,P O Box 105843,Auckland City,Auckland 1143,"09-3651640","","","",-36.890937000,"174.826998000","100","35","2","15","24","29","23","1","2020-07-01 00:00:00.0000000","94","44","6","0","38","4"
"25425",Shining Starz Early Learning Centre ,"09 816 8072","",info@shiningstarz.co.nz,"131 Atkinson Road",Titirangi,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Waitakere Ranges,Auckland Region,Auckland,Kelston,Tamaki Makaurau,Kaurilands,Waitakere Ward,Madhu Sondhi,"131 Atkinson Road",Titirangi,Auckland 0604,"09-2762894","","","",-36.929920000,"174.654661000","30","0","0","0","8","17","15","0","2020-07-01 00:00:00.0000000","40","28","2","0","10","0"
"45233",Kindercare Learning Centres - Massey,"07 846 6644","",massey@kindercare.co.nz,"156 Massey St",Frankton-Hamilton,Hamilton,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Hamilton City,Waikato Region,Waikato,Hamilton West,Hauraki-Waikato,Swarbrick,West Ward,Michelle Bailey,"60 Greville Road",Pinehill,Auckland 0632,"","","","",-37.791576000,"175.253421000","100","40","2","20","22","25","23","1","2020-07-01 00:00:00.0000000","93","37","28","0","19","4"
"80076",Little Wonders St Kilda,"021 089 47561","","","146A Victoria Road",St Kilda,Dunedin,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Dunedin City,Otago Region,Otago/Southland,Taieri,Te Tai Tonga,St Kilda West,Area Outside Ward,"",P O Box 105843,Auckland City,Auckland 1143,"","","","",-45.909237000,"170.495267000","100","35","5","22","33","29","24","0","2020-07-01 00:00:00.0000000","113","77","20","0","8","2"
"70145",Lollipops Blighs Road,"03 351 1030","03 351 1040",michelle.hamill@eeg.co.nz,"40 Blighs Road",Papanui,Christchurch,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Strowan,Fendalton Ward,Rose Hamill,P O Box 105843,Auckland City,Auckland 1143,"027-2230304","","","",-43.505214000,"172.601098000","75","25","2","10","10","17","22","2","2020-07-01 00:00:00.0000000","63","36","5","0","18","4"
"45059",Active Explorers Mana,"04 233 1233","04 233 6233",sasha.stewart@eeg.co.nz,"30 Marina View",Mana,Porirua,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru,Mana-Camborne,Northern Ward,Sasha Stewart,P O Box 105843,Auckland City,Auckland 1143,"","","99068",North Porirua Community of Learning,-41.101476000,"174.869187000","77","25","2","13","10","12","4","0","2020-07-01 00:00:00.0000000","41","26","9","0","3","0"
"45068",Kindercare Learning Centres - Thomas Road,"07 855 3667","",thomasroad@kindercare.co.nz,"99 Thomas Road",Rototuna,Hamilton,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Hamilton City,Waikato Region,Waikato,Hamilton East,Hauraki-Waikato,Huntington,East Ward,Michelle Bailey,"60 Greville Road",Pinehill,Auckland 0632,"","","99132",Te Pae Here Kāhui Ako Te Raki Rāwhiti o Kirikiriroa,-37.731004000,"175.276159000","100","25","1","9","19","27","26","0","2020-07-01 00:00:00.0000000","82","30","6","0","35","10"
"45240",Home Grown Kids,"0508 445 437","",jacqui@edubase.co.nz,"57A Spring Street",Tauranga Central,Tauranga,Homebased Network,Not Applicable,Privately owned,Yes,EQI 5+,Tauranga City,Bay of Plenty Region,Bay of Plenty/Waiariki,Tauranga,Waiariki,Tauranga Central,Te Papa-Welcome Bay Ward,Jacqui Haywood,"57A Spring Street","",Tauranga 3110,"0508-445437","","99016",Whakatane Community of Learning,-37.684202000,"176.168178000","50","30","1","6","0","3","8","0","2020-07-01 00:00:00.0000000","18","2","14","0","1","0"
"45295",BestStart Montel Avenue,"09 836 2647","",montel@best-start.org,"5 Vitasovich Avenue",Henderson,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 4,Auckland - Henderson-Massey,Auckland Region,Auckland,Te Atatu,Tamaki Makaurau,Henderson South,Waitakere Ward,Jane  Burke,P O Box 276177,Manukau City,South Auckland 2241,"09-2504136","","","",-36.884049000,"174.634170000","80","20","2","13","10","18","23","0","2020-07-01 00:00:00.0000000","66","12","15","0","30","5"
"47775",Tele Manaia,"021 405 648","",manaiaece@gmail.com,"57 Cooper Crescent",Otara,Auckland,Homebased Network,Not Applicable,Privately owned,Yes,Not Applicable / Unknown,Auckland - Otara-Papatoetoe,Auckland Region,Auckland,Panmure-Otahuhu,Tamaki Makaurau,Otara South,Manukau Ward,Sara Williams,"57 Cooper Crescent",Otara,Auckland 2023,"","","","",-36.969477000,"174.877007000","50","50","","","","","","","2020-07-01 00:00:00.0000000","","","","","",""
"45866",Little Engines Montessori,"09 378 9502","09 378 9503",barbara.ludlow@provincialeducation.co.nz,"56 Surrey Crescent",Grey Lynn,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,Not Applicable / Unknown,Auckland - Waitemata,Auckland Region,Auckland,Mt Albert,Tamaki Makaurau,Surrey Crescent,Waitemata and Gulf Ward,Barbara Ludlow,P O Box 628,Stanmore Bay,Whangaparaoa 0943,"","","","",-36.862405000,"174.734451000","50","0","0","0","9","22","14","3","2020-07-01 00:00:00.0000000","48","27","2","0","16","2"
